Dataset   Freq      θ_H     ±err    v_par   v_perp     |dr|  valid
--------------------------------------------------------------
  02ns   100     74.2      5.3    -3.84    13.55    1.938      Y
  02ns   200     87.4     26.1    -0.78    17.36    2.508      Y
  02ns   300     86.1     52.8     0.39     5.71    0.902      Y
  02ns   400     69.9     90.0     0.18     0.49    0.084      N
  02ns   500     58.3     37.7    -0.54     0.88    0.151      Y
  02ns   600     72.5     90.0     0.12     0.38    0.077      N
  02ns   700     88.3     90.0     0.09     2.98    0.445      Y
  02ns   800     88.6     90.0     0.08     3.26    0.531      Y
  02ns   900     80.5     48.7    -0.42     2.50    0.408      Y
  02ns  1000     89.9     90.0    -0.04    37.27    5.500      Y
  05ns   300     89.8     90.0     0.04     9.54    3.838      Y
  05ns   400     86.9     90.0     0.08     1.55    0.542      Y
  05ns   900     89.7     90.0    -0.03     6.17    2.422      Y
  05ns  1000     89.9     90.0    -0.04    32.28   14.317      Y
