freq(GHz) | |dr|(nm) |  dz(nm)  | v_mean(nm/ns) | a_mean(nm/ns²) | Core_0 | Core_f | Mode
----------------------------------------------------------------------------------------------------
   100     |   1.938 |   +1.833 |         15.66 |         506.44 |    908 |   1038 | accelerating
   200     |   2.508 |   +2.500 |         18.53 |         321.27 |    908 |    974 | accelerating
   300     |   0.902 |   +0.901 |          6.39 |         447.98 |    908 |    938 | accelerating
   400     |   0.084 |   +0.076 |          1.53 |         110.80 |    908 |    978 | static
   500     |   0.151 |   +0.136 |          1.86 |         130.24 |    908 |    973 | accelerating
   600     |   0.077 |   +0.075 |          1.83 |         148.79 |    908 |    989 | static
   700     |   0.445 |   +0.444 |          4.67 |         287.28 |    908 |    952 | accelerating
   800     |   0.531 |   +0.527 |          4.13 |         276.71 |    908 |    906 | accelerating
   900     |   0.408 |   +0.406 |          3.28 |         252.15 |    908 |    923 | accelerating
  1000     |   5.500 |   +5.498 |         41.05 |        1180.34 |    908 |   1045 | accelerating
