ku1,t_ns,R_nm,r_nm
0,0.0,8.121466446253537,3.9630889638932643
0,0.1,6.77781829411449,2.9297548851790913
0,0.2,6.026960047744814,3.124396340917458
0,0.4,4.641322626156853,3.1872017162891
0,0.6000000000000001,3.057145006946015,2.603343743461053
0,0.8,2.585350921352265,2.2177855244641265
0,1.0,2.6295321949181947,2.218959452582159
5000,0.0,8.121466446253537,3.9630889638932643
5000,0.1,6.76698895842906,2.9310820290120283
5000,0.2,5.864582977388386,3.0531049075216488
5000,0.4,4.25092239492944,2.9098669095826435
5000,0.6000000000000001,2.6295321949181947,2.2282319807643303
5000,0.8,2.3549956108321113,1.9724225493886118
5000,1.0,2.3549956108321113,1.8505582491213157
10000,0.0,8.121466446253537,3.9630889638932643
10000,0.1,6.657205739704979,2.9295588387114613
10000,0.2,5.665483106642908,2.929449710479904
10000,0.4,3.8222587902523224,2.6174698930130917
10000,0.6000000000000001,2.3549956108321113,1.894316147953457
10000,0.8,2.1725197807218173,1.7119185335959426
10000,1.0,2.1725197807218173,1.6449150340234262
20000,0.0,8.121466446253537,3.9630889638932643
20000,0.1,6.522575850793103,2.8667156597572325
20000,0.2,5.257812363351199,2.692907885241532
20000,0.4,2.798229287712908,2.1467438256218574
20000,0.6000000000000001,1.9145366652272942,1.5831136369023755
20000,0.8,1.8222374823662122,1.5472840428759567
20000,1.0,1.8222374823662122,1.5371233292152493
30000,0.0,8.121466446253537,3.9630889638932643
30000,0.1,6.290586169892801,2.792935144248754
30000,0.2,4.861401711429107,2.5020795715364423
30000,0.4,2.1725197807218173,1.6827017249918097
30000,0.6000000000000001,1.8222374823662122,1.3919600243536896
30000,0.8,1.8222374823662122,1.379039521289767
30000,1.0,1.8222374823662122,1.376849420997259
40000,0.0,8.121466446253537,3.9630889638932643
40000,0.1,6.096042859669932,2.722306804823997
40000,0.2,4.528189670882445,2.3218758001897712
40000,0.4,1.8222374823662122,1.4506629066897279
40000,0.6000000000000001,1.6871200137979554,1.2899013332122597
40000,0.8,1.6871200137979554,1.2981008217020893
40000,1.0,1.6871200137979556,1.2999649058643927
50000,0.0,8.121466446253537,3.9630889638932643
50000,0.1,5.938324766494991,2.6509718477535555
50000,0.2,4.0779005346969015,2.205839167636309
50000,0.4,1.6674088081008624,1.2922243715929969
50000,0.6000000000000001,1.4577379737113239,1.292157173016245
50000,0.8,1.4577379737113239,1.2953634888748344
50000,1.0,1.5610809667963392,1.2447273717937548
52000,0.0,8.121466446253537,3.9630889638932643
52000,0.1,5.914088319524459,2.637769974055684
52000,0.2,4.077900534696901,2.1579653423139025
52000,0.4,1.6437553612643512,1.2685063083856933
52000,0.6000000000000001,1.4577379737113239,1.2578597309322075
52000,0.8,1.4577379737113239,1.2499366669010445
52000,1.0,1.4577379737113239,1.2703001349676384
