B,t_ns,dx,dy,dz,core
0.05,0.0,0.0,0.0,0.0,908
0.05,0.01,0.003950208345646189,-0.02528744836164165,-0.0036220097211341344,908
0.05,0.02,-0.011289945385119184,0.0067373296188755205,-0.015991736990869754,908
0.05,0.03,0.034586703822220954,0.013259815968091006,-0.030104412989206967,908
0.05,0.04,-0.036478836610001515,-0.003374843745419298,0.029362746779469266,908
0.05,0.05,0.013548461079906817,-0.006156607018180439,-0.026376062745647744,908
0.05,0.06,-0.010075580261535324,0.000446258175255565,0.021779404849937123,908
0.05,0.07,-0.001894828305697871,0.022433361818592346,0.0015440233576349272,908
0.05,0.08,-0.0010056486740630532,-0.016077699614861274,-0.018027605058552613,908
0.05,0.09,0.0006753421527569969,0.017928279485133203,0.0041508826992640024,908
0.05,0.1,0.006431496801795333,-0.00552078640862419,-0.028735387630863588,908
0.1,0.0,0.0,0.0,0.0,908
0.1,0.01,0.004391218905254846,-0.024413738128185262,-0.0037954882311872495,907
0.1,0.02,-0.012701925568354255,0.007507800927548658,-0.015442306257217098,908
0.1,0.03,0.035613802869470135,0.014088428310355283,-0.02901580310013685,908
0.1,0.04,-0.03563259403905051,-0.001402045011236197,0.030399408748177596,908
0.1,0.05,0.009526021149646624,-0.006780531249361843,-0.023976361193405182,908
0.1,0.06,-0.0046816698526725995,0.00015713375399784013,0.02253130542712967,908
0.1,0.07,0.0016911019947869477,0.019799224145046423,0.007625992714643815,908
0.1,0.08,-0.0035868654552544403,-0.022209571754171265,-0.010166974597730418,908
0.1,0.09,-0.04183135140604932,-0.008686043021707945,0.02886038692426496,908
0.1,0.1,0.003842589286996656,-0.005707234817005968,-0.022997605628084727,908
0.2,0.0,0.0,0.0,0.0,908
0.2,0.01,0.0008833131202194977,-0.022571398737589732,-0.0044934509159553215,907
0.2,0.02,-0.012817967306130386,0.015643803837352976,-0.01135660373403269,908
0.2,0.03,0.036563209338485336,0.013153930939985516,-0.025019275627105486,906
0.2,0.04,-0.029338471550374834,0.003761693988931114,0.03475634964271279,908
0.2,0.05,-0.002321048915874258,-0.005657167070435066,-0.016115103715332424,906
0.2,0.06,0.011803621931626653,-0.004354256367964383,0.026376589707119535,902
0.2,0.07,0.005171333613816388,0.001924223169385897,0.02310707983795979,896
0.2,0.08,-0.014001292480521954,-0.007484522301616892,0.004721041245435487,891
0.2,0.09,-0.03739490611478047,-0.0007018528131155223,0.045688980704806426,902
0.2,0.1,-0.009676017234660607,-0.0021383840244162404,-0.006877072300973453,918
0.5,0.0,0.0,0.0,0.0,908
0.5,0.01,0.0029492451812984655,-0.03019395943190162,0.002840642161199725,907
0.5,0.02,-0.018973462301406844,0.02969728051761678,0.0002842814479890876,900
0.5,0.03,-0.0007136022288882772,0.015394454252206202,-0.0007322562278204714,900
0.5,0.04,-0.019873146809210596,0.014587289239521795,0.038046803015333815,925
0.5,0.05,-0.010992264702718302,0.028882815599974524,-0.0020468493606351505,944
0.5,0.06,-0.02907989199568206,0.006072878387151093,0.06142256430998927,969
0.5,0.07,-0.008126172270724652,0.010583601887656615,0.1122397816683325,968
0.5,0.08,-0.03029126189517584,-0.027161007612587443,0.4474642105116402,922
0.5,0.09,0.03071322349393668,0.00486394545421831,0.4635021953221212,909
0.5,0.1,-0.02409859767782052,-0.029532208888731763,0.5110126930549157,913
1.0,0.0,0.0,0.0,0.0,908
1.0,0.01,-0.00985448492291141,-0.0025487820259648686,0.0013301746451936936,896
1.0,0.02,-0.03072543555171237,0.01442462826861757,0.0702171841532504,924
1.0,0.03,-0.02831458400369513,-0.0009653877750466223,0.02380656984594509,968
1.0,0.04,-0.029864938862044003,0.008926821412817532,0.43319436470671135,938
1.0,0.05,0.021585766096819725,-0.0055475183626647615,0.4901632500041658,921
1.0,0.06,-0.006824281546542466,0.009476673024650495,0.8372771934233185,966
1.0,0.07,-0.024376736931039037,-0.027391843232070556,1.041777037109604,933
1.0,0.08,-0.03254802207026942,-0.005236729761822545,1.458324446741262,931
1.0,0.09,-0.04673143026157689,-0.0030369988533571757,1.9049958209328823,946
1.0,0.1,-0.06734688097038344,0.02716103362300615,2.396185476146499,955
2.0,0.0,0.0,0.0,0.0,908
2.0,0.01,-0.025564592459964786,0.021274491940282303,0.053883910485318154,916
2.0,0.02,-0.08686178410275859,0.007725625551351812,0.31052885616304593,957
2.0,0.03,-0.07860797255762009,-0.00283819938964669,0.6268951691059925,964
2.0,0.04,-0.058652316023533047,-0.007080662004113947,1.357143718011596,965
2.0,0.05,-0.13274816732212005,0.030634755191140787,2.1607899788984355,979
2.0,0.06,-0.31103461855616393,0.13814920162858613,3.3251632298651512,985
2.0,0.07,-0.3732503977386159,0.15571537067216568,4.62532612500781,977
2.0,0.08,-0.49056783677261256,0.4526792515470177,5.993876057864398,996
2.0,0.09,-0.5651342579942026,0.44818805708765197,7.362051126207334,993
2.0,0.1,-0.8537185117722005,0.4497880199429538,8.825595388035888,994
