frame,time_ns,dx_nm,dy_nm,dz_nm,dr_nm
0,0.0,0.0,0.0,0.0,0.0
1,0.05,-0.027852741629008193,0.008030746772316633,0.012208430836402329,0.03145336060678698
2,0.1,-0.021502750686963168,0.009891864351903479,0.059073288482053954,0.06363859426123523
3,0.15000000000000002,-0.041814096497756026,-0.00048083507657992186,0.16029643052373288,0.16566108627841494
4,0.2,-0.05703209343685245,-0.009361235691446979,0.30791487306746745,0.3132919747960603
5,0.25,-0.045342821018330426,-0.027227462103358135,0.502122850285577,0.504900646552767
6,0.30000000000000004,-0.044752493508291025,-0.014858631856967008,0.7505495186500184,0.7520293508644758
7,0.35000000000000003,-0.0675208362313704,0.009418174735802864,1.056799769105961,1.058996467096633
8,0.4,-0.10188328297514815,-0.0038436332547284735,1.4240305043663994,1.427675682440663
9,0.45,-0.10855950993754604,-0.005516814192802144,1.8550150174759565,1.8581970609970413
10,0.5,-0.12324121331857185,0.016673590989142895,2.3551033207794063,2.3583846286903447
