frame,time_ns,dx_nm,dy_nm,dz_nm,dr_nm
0,0.0,0.0,0.0,0.0,0.0
1,0.05,0.00013676333853140932,0.00010642112614789312,-3.583538229534611e-05,0.00017695717414418737
2,0.1,-0.0004066460645972825,0.0004450441575478692,0.0003755083464938025,0.0007102336533187226
3,0.15000000000000002,-0.0006021637440269956,-4.44082514263755e-05,0.0007400213176360637,0.000955094140894589
4,0.2,-0.00038162005073871796,-0.00045094907525111694,0.0011550482275772822,0.0012973532054244444
5,0.25,7.54159810156807e-06,-0.00045650640059236025,0.0015821282301580197,0.0016466890131857522
6,0.30000000000000004,-5.7399048966289e-05,-9.714912985003821e-05,0.002205304314060186,0.0022081892405012124
7,0.35000000000000003,-0.0004031076215440521,-1.375551107685169e-05,0.0028607695194544647,0.0028890633797256193
8,0.4,-0.0005867422861953742,-0.0003800193583138878,0.003620931063860411,0.0036877937838675798
9,0.45,-0.0005560090118557071,-0.0007394603487043128,0.004286025508150715,0.004384741986148018
10,0.5,-0.00019173006793948844,-0.0008197647952776776,0.005191479316788872,0.005259299595495144
