frame,time_ns,dx_nm,dy_nm,dz_nm,dr_nm
0,0.0,0.0,0.0,0.0,0.0
1,0.05,-0.0037388432739362543,-0.027724147664851984,0.012862463102035093,0.03079042496979849
2,0.1,0.008773750503824118,-0.013846513637062685,0.053729967030704984,0.05617485197955898
3,0.15000000000000002,0.008058714683201629,-0.022853125126243157,0.14959612336421202,0.15154606011368793
4,0.2,0.001681178148103868,-0.03489498363576615,0.29107912309298456,0.2931681124261077
5,0.25,0.00889537358175474,-0.0592001936963058,0.48401724000385116,0.48770532007123396
6,0.30000000000000004,0.036085500804265536,-0.05270520427309222,0.7285475236824794,0.7313422565322176
7,0.35000000000000003,0.011264947789211277,-0.04650187664283223,1.025414948733463,1.0265306330870254
8,0.4,-0.008117616651208692,-0.07605239925123186,1.3882570151123481,1.390362328006844
9,0.45,-0.007682503298010346,-0.11469476523004118,1.8156864296853144,1.8193216100985286
10,0.5,-0.008019752225145282,-0.13241382072098418,2.306456911934209,2.310268647355274
