frame,time_ns,dx_nm,dy_nm,dz_nm,dr_nm
0,0.0,0.0,0.0,0.0,0.0
1,0.05,1.5248734044348566e-06,1.7218844980959602e-06,-2.4690096243062953e-05,2.4796995334436132e-05
2,0.1,4.253949388299816e-06,4.495671095838816e-06,5.4553234988929944e-05,5.490321112428295e-05
3,0.15000000000000002,1.1898024112610983e-06,4.75996451143601e-07,7.09858162046828e-05,7.09973823788198e-05
4,0.2,-3.935564578227968e-06,-5.278225316374119e-06,-9.965606579953601e-06,1.1944105054219418e-05
5,0.25,5.61291045642065e-07,-1.0843353450695759e-06,-0.000121477496190181,0.0001214836322778255
6,0.30000000000000004,-2.920554454277635e-06,-3.92616726330175e-06,-0.000231728939741771,0.000231780598716858
7,0.35000000000000003,-1.4739158196164226e-06,-2.326373678585014e-06,-0.00038550342171816965,0.0003855132586549426
8,0.4,4.107575747980263e-06,2.3293841415750194e-06,-0.0005778582571558388,0.0005778775506733135
9,0.45,-8.923058913978821e-08,-2.4548424129022806e-06,-0.0008832690599049897,0.0008832724757394031
10,0.5,-8.543502616475962e-07,-3.3130304757378326e-06,-0.0011344808558000352,0.001134486015013884
