face_id,vertex_id,x_nm,y_nm,z_nm,phi_rad
0,0,-18.000000000000004,-3.0000000000000004,-0.8947296142578134,-2.9207016167305753
0,1,-18.000000000000004,-3.1970138549804683,-0.5000000000000012,-2.9207016167305753
0,2,-18.032161712646484,-3.0000000000000004,-0.5000000000000012,-2.9207016167305753
1,0,-18.000000000000004,-3.1970138549804683,0.0,-2.9983590769854866
1,1,-18.032161712646484,-3.0000000000000004,0.0,-2.9983590769854866
1,2,-18.032161712646484,-3.0000000000000004,-0.5000000000000012,-2.9983590769854866
2,0,-18.000000000000004,-3.1970138549804683,0.0,-2.9668686007053853
2,1,-18.032161712646484,-3.0000000000000004,-0.5000000000000012,-2.9668686007053853
2,2,-18.000000000000004,-3.1970138549804683,-0.5000000000000012,-2.9668686007053853
3,0,-18.000000000000004,-3.0000000000000004,0.39472961425781217,-3.048045173523483
3,1,-18.032161712646484,-3.0000000000000004,0.0,-3.048045173523483
3,2,-18.000000000000004,-3.1970138549804683,0.0,-3.048045173523483
4,0,-18.000000000000004,-2.499999999999999,-1.3603782653808603,-2.8619765350404895
4,1,-18.000000000000004,-2.936246871948242,-0.999999999999999,-2.8619765350404895
4,2,-18.05907011032105,-2.499999999999999,-0.999999999999999,-2.8619765350404895
5,0,-18.05907011032105,-2.499999999999999,-0.999999999999999,-2.87890812962313
5,1,-18.000000000000004,-2.936246871948242,-0.999999999999999,-2.87890812962313
5,2,-18.000000000000004,-3.0000000000000004,-0.8947296142578134,-2.87890812962313
6,0,-18.032161712646484,-3.0000000000000004,-0.5000000000000012,-2.905690700783083
6,1,-18.05907011032105,-2.499999999999999,-0.999999999999999,-2.905690700783083
6,2,-18.000000000000004,-3.0000000000000004,-0.8947296142578134,-2.905690700783083
7,0,-18.099764823913574,-2.499999999999999,-0.5000000000000012,-2.9370804073049843
7,1,-18.05907011032105,-2.499999999999999,-0.999999999999999,-2.9370804073049843
7,2,-18.032161712646484,-3.0000000000000004,-0.5000000000000012,-2.9370804073049843
8,0,-18.099764823913574,-2.499999999999999,0.0,-3.011414755050159
8,1,-18.032161712646484,-3.0000000000000004,-0.5000000000000012,-3.011414755050159
8,2,-18.032161712646484,-3.0000000000000004,0.0,-3.011414755050159
9,0,-18.099764823913574,-2.499999999999999,-0.5000000000000012,-2.992914049814525
9,1,-18.032161712646484,-3.0000000000000004,-0.5000000000000012,-2.992914049814525
9,2,-18.099764823913574,-2.499999999999999,0.0,-2.992914049814525
10,0,-18.032161712646484,-3.0000000000000004,0.0,-3.080706151590065
10,1,-18.000000000000004,-3.0000000000000004,0.39472961425781217,-3.080706151590065
10,2,-18.000000000000004,-2.936246871948242,0.49999999999999784,-3.080706151590065
11,0,-18.05907011032105,-2.499999999999999,0.49999999999999784,-3.096003869447561
11,1,-18.032161712646484,-3.0000000000000004,0.0,-3.096003869447561
11,2,-18.000000000000004,-2.936246871948242,0.49999999999999784,-3.096003869447561
12,0,-18.099764823913574,-2.499999999999999,0.0,-3.076383875630093
12,1,-18.032161712646484,-3.0000000000000004,0.0,-3.076383875630093
12,2,-18.05907011032105,-2.499999999999999,0.49999999999999784,-3.076383875630093
13,0,-18.000000000000004,-2.499999999999999,0.860378265380859,3.1299620556223897
13,1,-18.05907011032105,-2.499999999999999,0.49999999999999784,3.1299620556223897
13,2,-18.000000000000004,-2.936246871948242,0.49999999999999784,3.1299620556223897
14,0,-18.000000000000004,-2.0000000000000013,-1.6256103515624993,-2.821020246218036
14,1,-18.000000000000004,-2.2875766754150404,-1.5000000000000002,-2.821020246218036
14,2,-18.031190395355228,-2.0000000000000013,-1.5000000000000002,-2.821020246218036
15,0,-18.031190395355228,-2.0000000000000013,-1.5000000000000002,-2.8267823530349196
15,1,-18.000000000000004,-2.2875766754150404,-1.5000000000000002,-2.8267823530349196
15,2,-18.000000000000004,-2.499999999999999,-1.3603782653808603,-2.8267823530349196
16,0,-18.05907011032105,-2.499999999999999,-0.999999999999999,-2.851098115602279
16,1,-18.031190395355228,-2.0000000000000013,-1.5000000000000002,-2.851098115602279
16,2,-18.000000000000004,-2.499999999999999,-1.3603782653808603,-2.851098115602279
17,0,-18.113144874572754,-2.0000000000000013,-0.999999999999999,-2.880719324310086
17,1,-18.031190395355228,-2.0000000000000013,-1.5000000000000002,-2.880719324310086
17,2,-18.05907011032105,-2.499999999999999,-0.999999999999999,-2.880719324310086
18,0,-18.15394163131714,-2.0000000000000013,-0.5000000000000012,-2.9557246878373005
18,1,-18.05907011032105,-2.499999999999999,-0.999999999999999,-2.9557246878373005
18,2,-18.099764823913574,-2.499999999999999,-0.5000000000000012,-2.9557246878373005
19,0,-18.113144874572754,-2.0000000000000013,-0.999999999999999,-2.9370049856336786
19,1,-18.05907011032105,-2.499999999999999,-0.999999999999999,-2.9370049856336786
19,2,-18.15394163131714,-2.0000000000000013,-0.5000000000000012,-2.9370049856336786
20,0,-18.15394163131714,-2.0000000000000013,0.0,-3.0394302148773416
20,1,-18.099764823913574,-2.499999999999999,-0.5000000000000012,-3.0394302148773416
20,2,-18.099764823913574,-2.499999999999999,0.0,-3.0394302148773416
21,0,-18.15394163131714,-2.0000000000000013,-0.5000000000000012,-3.02088061296003
