map,plane,i,j,u_nm,v_nm,value
rms,xy,0,0,0.25,0.25,7.160898e-06
rms,xy,0,1,0.25,0.75,7.1546515e-06
rms,xy,0,2,0.25,1.25,7.183511e-06
rms,xy,0,3,0.25,1.75,7.332402e-06
rms,xy,0,4,0.25,2.25,7.6301485e-06
rms,xy,0,5,0.25,2.75,8.155161e-06
rms,xy,0,6,0.25,3.25,9.050997e-06
rms,xy,0,7,0.25,3.75,1.0445165e-05
rms,xy,0,8,0.25,4.25,1.2318163e-05
rms,xy,0,9,0.25,4.75,1.4504341e-05
rms,xy,0,10,0.25,5.25,1.6782442e-05
rms,xy,0,11,0.25,5.75,1.8974026e-05
rms,xy,0,12,0.25,6.25,2.0962414e-05
rms,xy,0,13,0.25,6.75,2.2691824e-05
rms,xy,0,14,0.25,7.25,2.4136436e-05
rms,xy,0,15,0.25,7.75,2.5296167e-05
rms,xy,0,16,0.25,8.25,2.618081e-05
rms,xy,0,17,0.25,8.75,2.6816668e-05
rms,xy,0,18,0.25,9.25,2.7237058e-05
rms,xy,0,19,0.25,9.75,2.748762e-05
rms,xy,0,20,0.25,10.25,2.7618684e-05
rms,xy,0,21,0.25,10.75,2.7687482e-05
rms,xy,0,22,0.25,11.25,2.7750013e-05
rms,xy,0,23,0.25,11.75,2.7858425e-05
rms,xy,0,24,0.25,12.25,2.8053717e-05
rms,xy,0,25,0.25,12.75,2.836411e-05
rms,xy,0,26,0.25,13.25,2.880604e-05
rms,xy,0,27,0.25,13.75,2.9383798e-05
rms,xy,0,28,0.25,14.25,3.0094747e-05
rms,xy,0,29,0.25,14.75,3.09233e-05
rms,xy,0,30,0.25,15.25,3.18506e-05
rms,xy,0,31,0.25,15.75,3.28474e-05
rms,xy,0,32,0.25,16.25,3.388969e-05
rms,xy,0,33,0.25,16.75,3.4947843e-05
rms,xy,0,34,0.25,17.25,3.6003454e-05
rms,xy,0,35,0.25,17.75,3.7033005e-05
rms,xy,0,36,0.25,18.25,3.8027123e-05
rms,xy,0,37,0.25,18.75,3.8970702e-05
rms,xy,0,38,0.25,19.25,3.986263e-05
rms,xy,0,39,0.25,19.75,4.0692048e-05
rms,xy,0,40,0.25,20.25,4.1459603e-05
rms,xy,0,41,0.25,20.75,4.215537e-05
rms,xy,0,42,0.25,21.25,4.2784206e-05
rms,xy,0,43,0.25,21.75,4.334111e-05
rms,xy,0,44,0.25,22.25,4.383266e-05
rms,xy,0,45,0.25,22.75,4.4248984e-05
rms,xy,0,46,0.25,23.25,4.4590433e-05
rms,xy,0,47,0.25,23.75,4.4848566e-05
rms,xy,0,48,0.25,24.25,4.503642e-05
rms,xy,0,49,0.25,24.75,4.516169e-05
rms,xy,0,50,0.25,25.25,4.5243454e-05
rms,xy,0,51,0.25,25.75,4.5279576e-05
rms,xy,0,52,0.25,26.25,4.527011e-05
rms,xy,0,53,0.25,26.75,4.520062e-05
rms,xy,0,54,0.25,27.25,4.507284e-05
rms,xy,0,55,0.25,27.75,4.488288e-05
rms,xy,0,56,0.25,28.25,4.464097e-05
rms,xy,0,57,0.25,28.75,4.4341676e-05
rms,xy,0,58,0.25,29.25,4.3989574e-05
rms,xy,0,59,0.25,29.75,4.357528e-05
rms,xy,0,60,0.25,30.25,4.3104475e-05
rms,xy,0,61,0.25,30.75,4.2568514e-05
rms,xy,0,62,0.25,31.25,4.19695e-05
rms,xy,0,63,0.25,31.75,4.1292893e-05
rms,xy,0,64,0.25,32.25,4.0539784e-05
rms,xy,0,65,0.25,32.75,3.970386e-05
rms,xy,0,66,0.25,33.25,3.879963e-05
rms,xy,0,67,0.25,33.75,3.783504e-05
rms,xy,0,68,0.25,34.25,3.6837057e-05
rms,xy,0,69,0.25,34.75,3.5829715e-05
rms,xy,0,70,0.25,35.25,3.4858615e-05
rms,xy,0,71,0.25,35.75,3.3966924e-05
rms,xy,0,72,0.25,36.25,3.3205477e-05
rms,xy,0,73,0.25,36.75,3.2608867e-05
rms,xy,0,74,0.25,37.25,3.2201504e-05
rms,xy,0,75,0.25,37.75,3.198588e-05
rms,xy,0,76,0.25,38.25,3.1948573e-05
rms,xy,0,77,0.25,38.75,3.2053376e-05
rms,xy,0,78,0.25,39.25,3.2244992e-05
rms,xy,0,79,0.25,39.75,3.24516e-05
rms,xy,0,80,0.25,40.25,3.2591404e-05
rms,xy,0,81,0.25,40.75,3.2583113e-05
rms,xy,0,82,0.25,41.25,3.234666e-05
rms,xy,0,83,0.25,41.75,3.1815922e-05
rms,xy,0,84,0.25,42.25,3.093271e-05
rms,xy,0,85,0.25,42.75,2.966044e-05
rms,xy,0,86,0.25,43.25,2.7974122e-05
rms,xy,0,87,0.25,43.75,2.5875004e-05
rms,xy,0,88,0.25,44.25,2.3388124e-05
rms,xy,0,89,0.25,44.75,2.0590669e-05
rms,xy,0,90,0.25,45.25,1.7627643e-05
rms,xy,0,91,0.25,45.75,1.4732707e-05
rms,xy,0,92,0.25,46.25,1.2186933e-05
rms,xy,0,93,0.25,46.75,1.0220412e-05
rms,xy,0,94,0.25,47.25,8.88265e-06
rms,xy,0,95,0.25,47.75,8.043597e-06
rms,xy,0,96,0.25,48.25,7.5361236e-06
rms,xy,0,97,0.25,48.75,7.2806765e-06
rms,xy,0,98,0.25,49.25,7.232049e-06
rms,xy,0,99,0.25,49.75,7.2433177e-06
rms,xy,1,0,0.75,0.25,7.155725e-06
rms,xy,1,1,0.75,0.75,7.1364484e-06
rms,xy,1,2,0.75,1.25,7.154196e-06
rms,xy,1,3,0.75,1.75,7.289256e-06
rms,xy,1,4,0.75,2.25,7.5592047e-06
rms,xy,1,5,0.75,2.75,8.117415e-06
rms,xy,1,6,0.75,3.25,9.2216105e-06
rms,xy,1,7,0.75,3.75,1.10328765e-05
rms,xy,1,8,0.75,4.25,1.3443089e-05
rms,xy,1,9,0.75,4.75,1.6144979e-05
rms,xy,1,10,0.75,5.25,1.8847624e-05
rms,xy,1,11,0.75,5.75,2.1360624e-05
rms,xy,1,12,0.75,6.25,2.3583209e-05
rms,xy,1,13,0.75,6.75,2.5463956e-05
rms,xy,1,14,0.75,7.25,2.6988015e-05
rms,xy,1,15,0.75,7.75,2.8157803e-05
rms,xy,1,16,0.75,8.25,2.8994533e-05
rms,xy,1,17,0.75,8.75,2.95282e-05
rms,xy,1,18,0.75,9.25,2.9796285e-05
rms,xy,1,19,0.75,9.75,2.985322e-05
rms,xy,1,20,0.75,10.25,2.9761884e-05
rms,xy,1,21,0.75,10.75,2.959492e-05
rms,xy,1,22,0.75,11.25,2.9422094e-05
rms,xy,1,23,0.75,11.75,2.9303093e-05
rms,xy,1,24,0.75,12.25,2.9281797e-05
rms,xy,1,25,0.75,12.75,2.9380593e-05
rms,xy,1,26,0.75,13.25,2.962235e-05
rms,xy,1,27,0.75,13.75,3.0026265e-05
rms,xy,1,28,0.75,14.25,3.0599564e-05
rms,xy,1,29,0.75,14.75,3.1330692e-05
rms,xy,1,30,0.75,15.25,3.218877e-05
rms,xy,1,31,0.75,15.75,3.3148503e-05
rms,xy,1,32,0.75,16.25,3.4170153e-05
rms,xy,1,33,0.75,16.75,3.5226898e-05
rms,xy,1,34,0.75,17.25,3.6281122e-05
rms,xy,1,35,0.75,17.75,3.7314523e-05
rms,xy,1,36,0.75,18.25,3.830273e-05
rms,xy,1,37,0.75,18.75,3.9238304e-05
rms,xy,1,38,0.75,19.25,4.0105682e-05
rms,xy,1,39,0.75,19.75,4.0900642e-05
rms,xy,1,40,0.75,20.25,4.161074e-05
rms,xy,1,41,0.75,20.75,4.223686e-05
rms,xy,1,42,0.75,21.25,4.2774078e-05
rms,xy,1,43,0.75,21.75,4.323018e-05
rms,xy,1,44,0.75,22.25,4.360702e-05
rms,xy,1,45,0.75,22.75,4.3910746e-05
rms,xy,1,46,0.75,23.25,4.4146534e-05
rms,xy,1,47,0.75,23.75,4.4322467e-05
rms,xy,1,48,0.75,24.25,4.4450673e-05
rms,xy,1,49,0.75,24.75,4.4540884e-05
rms,xy,1,50,0.75,25.25,4.459731e-05
rms,xy,1,51,0.75,25.75,4.4623386e-05
rms,xy,1,52,0.75,26.25,4.4623775e-05
rms,xy,1,53,0.75,26.75,4.4595006e-05
rms,xy,1,54,0.75,27.25,4.4527304e-05
