map,plane,i,j,u_nm,v_nm,value
rms,xy,0,0,0.25,0.25,1.9697445e-05
rms,xy,0,1,0.25,0.75,2.1219053e-05
rms,xy,0,2,0.25,1.25,2.3404775e-05
rms,xy,0,3,0.25,1.75,2.4458786e-05
rms,xy,0,4,0.25,2.25,2.662892e-05
rms,xy,0,5,0.25,2.75,2.8598246e-05
rms,xy,0,6,0.25,3.25,3.2362714e-05
rms,xy,0,7,0.25,3.75,3.648075e-05
rms,xy,0,8,0.25,4.25,4.250738e-05
rms,xy,0,9,0.25,4.75,4.849147e-05
rms,xy,0,10,0.25,5.25,5.5494536e-05
rms,xy,0,11,0.25,5.75,6.168247e-05
rms,xy,0,12,0.25,6.25,6.8161404e-05
rms,xy,0,13,0.25,6.75,7.349883e-05
rms,xy,0,14,0.25,7.25,7.887251e-05
rms,xy,0,15,0.25,7.75,8.309762e-05
rms,xy,0,16,0.25,8.25,8.733424e-05
rms,xy,0,17,0.25,8.75,9.0532114e-05
rms,xy,0,18,0.25,9.25,9.383016e-05
rms,xy,0,19,0.25,9.75,9.626818e-05
rms,xy,0,20,0.25,10.25,9.896853e-05
rms,xy,0,21,0.25,10.75,0.00010101993
rms,xy,0,22,0.25,11.25,0.00010350652
rms,xy,0,23,0.25,11.75,0.00010552604
rms,xy,0,24,0.25,12.25,0.0001081024
rms,xy,0,25,0.25,12.75,0.00011032384
rms,xy,0,26,0.25,13.25,0.00011314315
rms,xy,0,27,0.25,13.75,0.00011564435
rms,xy,0,28,0.25,14.25,0.000118709904
rms,xy,0,29,0.25,14.75,0.000121430996
rms,xy,0,30,0.25,15.25,0.00012462908
rms,xy,0,31,0.25,15.75,0.00012741958
rms,xy,0,32,0.25,16.25,0.00013058075
rms,xy,0,33,0.25,16.75,0.00013326698
rms,xy,0,34,0.25,17.25,0.00013622924
rms,xy,0,35,0.25,17.75,0.00013866415
rms,xy,0,36,0.25,18.25,0.00014130572
rms,xy,0,37,0.25,18.75,0.00014338581
rms,xy,0,38,0.25,19.25,0.0001456192
rms,xy,0,39,0.25,19.75,0.00014726259
rms,xy,0,40,0.25,20.25,0.00014901964
rms,xy,0,41,0.25,20.75,0.00015017195
rms,xy,0,42,0.25,21.25,0.00015142235
rms,xy,0,43,0.25,21.75,0.00015207584
rms,xy,0,44,0.25,22.25,0.00015284089
rms,xy,0,45,0.25,22.75,0.00015303947
rms,xy,0,46,0.25,23.25,0.0001533856
rms,xy,0,47,0.25,23.75,0.00015320857
rms,xy,0,48,0.25,24.25,0.00015321719
rms,xy,0,49,0.25,24.75,0.00015273296
rms,xy,0,50,0.25,25.25,0.00015245499
rms,xy,0,51,0.25,25.75,0.00015169503
rms,xy,0,52,0.25,26.25,0.00015115127
rms,xy,0,53,0.25,26.75,0.00015012965
rms,xy,0,54,0.25,27.25,0.00014932879
rms,xy,0,55,0.25,27.75,0.00014805017
rms,xy,0,56,0.25,28.25,0.00014700142
rms,xy,0,57,0.25,28.75,0.0001454862
rms,xy,0,58,0.25,29.25,0.00014422034
rms,xy,0,59,0.25,29.75,0.00014250161
rms,xy,0,60,0.25,30.25,0.00014104099
rms,xy,0,61,0.25,30.75,0.00013911593
rms,xy,0,62,0.25,31.25,0.00013743262
rms,xy,0,63,0.25,31.75,0.00013524684
rms,xy,0,64,0.25,32.25,0.00013326689
rms,xy,0,65,0.25,32.75,0.00013073097
rms,xy,0,66,0.25,33.25,0.00012836995
rms,xy,0,67,0.25,33.75,0.00012541986
rms,xy,0,68,0.25,34.25,0.00012266394
rms,xy,0,69,0.25,34.75,0.000119340635
rms,xy,0,70,0.25,35.25,0.00011629775
rms,xy,0,71,0.25,35.75,0.00011276686
rms,xy,0,72,0.25,36.25,0.00010966612
rms,xy,0,73,0.25,36.75,0.00010619715
rms,xy,0,74,0.25,37.25,0.000103332444
rms,xy,0,75,0.25,37.75,0.00010020126
rms,xy,0,76,0.25,38.25,9.78004e-05
rms,xy,0,77,0.25,38.75,9.5149044e-05
rms,xy,0,78,0.25,39.25,9.32362e-05
rms,xy,0,79,0.25,39.75,9.095678e-05
rms,xy,0,80,0.25,40.25,8.927658e-05
rms,xy,0,81,0.25,40.75,8.697927e-05
rms,xy,0,82,0.25,41.25,8.503085e-05
rms,xy,0,83,0.25,41.75,8.216018e-05
rms,xy,0,84,0.25,42.25,7.938853e-05
rms,xy,0,85,0.25,42.75,7.5442105e-05
rms,xy,0,86,0.25,43.25,7.145319e-05
rms,xy,0,87,0.25,43.75,6.6159664e-05
rms,xy,0,88,0.25,44.25,6.087384e-05
rms,xy,0,89,0.25,44.75,5.4398497e-05
rms,xy,0,90,0.25,45.25,4.839638e-05
rms,xy,0,91,0.25,45.75,4.1817824e-05
rms,xy,0,92,0.25,46.25,3.6705413e-05
rms,xy,0,93,0.25,46.75,3.1847234e-05
rms,xy,0,94,0.25,47.25,2.9014484e-05
rms,xy,0,95,0.25,47.75,2.6299584e-05
rms,xy,0,96,0.25,48.25,2.5044736e-05
rms,xy,0,97,0.25,48.75,2.3205697e-05
rms,xy,0,98,0.25,49.25,2.1838265e-05
rms,xy,0,99,0.25,49.75,1.9494435e-05
rms,xy,1,0,0.75,0.25,2.1218108e-05
rms,xy,1,1,0.75,0.75,2.4629051e-05
rms,xy,1,2,0.75,1.25,2.6658603e-05
rms,xy,1,3,0.75,1.75,2.883575e-05
rms,xy,1,4,0.75,2.25,3.0220861e-05
rms,xy,1,5,0.75,2.75,3.304954e-05
rms,xy,1,6,0.75,3.25,3.6196387e-05
rms,xy,1,7,0.75,3.75,4.1675252e-05
rms,xy,1,8,0.75,4.25,4.761313e-05
rms,xy,1,9,0.75,4.75,5.5020213e-05
rms,xy,1,10,0.75,5.25,6.177734e-05
rms,xy,1,11,0.75,5.75,6.889134e-05
rms,xy,1,12,0.75,6.25,7.4792304e-05
rms,xy,1,13,0.75,6.75,8.0647966e-05
rms,xy,1,14,0.75,7.25,8.523455e-05
rms,xy,1,15,0.75,7.75,8.9688125e-05
