 freq(GHz)  |dr|(nm)    dz(nm)     v_mean       a_mean  Core_0  Core_f   dir mode
------------------------------------------------------------------------------------------
        25    11.475   -11.375      61.68      3367.05     908     640    -z accelerating
        50     2.578    -2.574      10.82       500.61     908     896    -z accelerating
        75     0.055    -0.032       4.00       379.71     908     911    -z static
       100    17.598   +17.593      60.79      1508.71     908     811    +z steady
       125     8.292    -8.292      24.79       539.85     908     841    -z accelerating
       150     0.635    -0.634       2.96       212.32     908     936    -z steady
       175    15.412   -15.411      45.91       580.90     908     711    -z accelerating
       200     7.391    -7.390      21.67       544.51     908     908    -z accelerating
       300     6.950    -6.950      18.59       416.08     908     856    -z accelerating
       400     5.052    -5.052      13.95       768.62     908     852    -z accelerating
       500     4.994    -4.994      13.58       663.31     908     864    -z accelerating
       600     1.443    -1.443       4.91       327.12     908     955    -z accelerating
       700     3.089    -3.089       8.60       221.00     908     879    -z accelerating
       800     2.807    -2.806       7.85       390.74     908     947    -z accelerating
       900     4.565    -4.565      12.65       297.46     908     864    -z accelerating
      1000    15.387   -15.386      55.88      1128.29     908     744    -z steady
      1100    18.149   -18.149      56.25      1403.32     908     704    -z steady
      1200     2.958    -2.958       8.13       444.35     908     903    -z accelerating
      1300     0.859    -0.854       2.49       123.65     908     970    -z accelerating
      1500     9.018    -9.018      25.27       351.49     908     813    -z accelerating
