# t (s)	mx ()	my ()	mz ()	E_total (J)
0	-4.3296813e-10	-9.469986e-10	0.9960304	1.086122e-18
5.001971868850679e-14	-4.196167e-10	-9.498596e-10	0.9960304	1.0861258e-18
1.0222948076597156e-13	-4.2152404e-10	-8.5830687e-10	0.99603045	1.0861737e-18
1.5074533180567738e-13	-4.5394896e-10	-6.9999695e-10	0.99603045	1.0862541e-18
2.0000522115203298e-13	-4.97818e-10	-5.130768e-10	0.9960304	1.086371e-18
2.517014748927558e-13	-6.198883e-10	-2.5749206e-10	0.9960304	1.0865674e-18
3.0274082346108914e-13	-8.163452e-10	-2.002716e-11	0.9960304	1.0868759e-18
3.532404523460425e-13	-1.0471344e-09	2.1076202e-10	0.9960304	1.0873459e-18
4.027302943748327e-13	-1.2588501e-09	3.979206e-10	0.9960304	1.0879652e-18
4.5134579633006815e-13	-1.5058518e-09	5.903244e-10	0.9960304	1.0887406e-18
5.025101508304696e-13	-1.7147064e-09	7.5340273e-10	0.9960304	1.0897744e-18
5.531105270320926e-13	-1.9378663e-09	9.152889e-10	0.99603033	1.0910582e-18
6.001364095580397e-13	-2.1400453e-09	1.0714531e-09	0.99603033	1.0925311e-18
6.528879700915006e-13	-2.3651123e-09	1.217842e-09	0.99603033	1.0945083e-18
7.022189698978323e-13	-2.5672913e-09	1.3217926e-09	0.9960304	1.0967647e-18
7.51265992352532e-13	-2.746582e-09	1.4486313e-09	0.9960303	1.0994607e-18
8.024428532986824e-13	-2.943039e-09	1.5487671e-09	0.99603033	1.1024143e-18
8.50042583443716e-13	-3.074646e-09	1.6765594e-09	0.9960303	1.1053638e-18
9.001125141651446e-13	-3.238678e-09	1.7604828e-09	0.9960302	1.1086784e-18
9.519991321076604e-13	-3.35598e-09	1.8472671e-09	0.9960302	1.1118567e-18
1.0026488372543658e-12	-3.414154e-09	1.8997193e-09	0.9960302	1.1145006e-18
1.0519785201462644e-12	-3.4503937e-09	1.9550324e-09	0.99603015	1.1164736e-18
1.1007151064451007e-12	-3.479004e-09	1.9836426e-09	0.99603015	1.1182021e-18
1.1511668486146526e-12	-3.4923553e-09	2.0008086e-09	0.99603015	1.1195456e-18
1.2004268192514788e-12	-3.4847258e-09	2.008438e-09	0.99603015	1.1203285e-18
1.2513491707725659e-12	-3.490448e-09	2.0210742e-09	0.9960301	1.1207593e-18
1.30192519296546e-12	-3.511429e-09	1.9974709e-09	0.99603015	1.1210575e-18
1.3522257557993687e-12	-3.5247802e-09	2.0017623e-09	0.99603	1.1212543e-18
1.4020615424435889e-12	-3.5247802e-09	2.0155906e-09	0.99603015	1.1212859e-18
1.4516243794508989e-12	-3.537178e-09	2.0074844e-09	0.99603015	1.1212252e-18
1.5015252570853376e-12	-3.551483e-09	2.0065307e-09	0.99603015	1.1212805e-18
1.551911499607629e-12	-3.5591126e-09	1.9865036e-09	0.99603015	1.1215154e-18
1.6023384023799189e-12	-3.578186e-09	1.9769668e-09	0.99603	1.1217675e-18
1.6523025876071332e-12	-3.6201477e-09	1.9769668e-09	0.99603015	1.1218508e-18
1.7017218044869927e-12	-3.6029815e-09	1.9571782e-09	0.99603015	1.1217466e-18
1.7513266159185457e-12	-3.6010743e-09	1.9454955e-09	0.99603015	1.1217057e-18
1.8022686716238658e-12	-3.5934449e-09	1.9569397e-09	0.99603	1.1221821e-18
1.8519408787528744e-12	-3.5705567e-09	2.017975e-09	0.99603	1.1232608e-18
1.901940507278151e-12	-3.633499e-09	2.0465851e-09	0.99603	1.1245588e-18
1.9516106456729584e-12	-3.65448e-09	2.067566e-09	0.99603	1.1257085e-18
2.0004320470141657e-12	-3.684193e-09	2.0723343e-09	0.99603	1.1264253e-18
2.0508401795753055e-12	-3.6878587e-09	2.0551683e-09	0.99603	1.1267179e-18
2.100784709027343e-12	-3.6878587e-09	2.067566e-09	0.9960299	1.1268141e-18
2.1505029384338573e-12	-3.6907195e-09	2.058506e-09	0.9960299	1.1268196e-18
2.2006914301328924e-12	-3.6964416e-09	2.0465851e-09	0.99602985	1.1270233e-18
2.252080817706425e-12	-3.7231445e-09	2.0713806e-09	0.99602985	1.1278091e-18
