# t (s)	mx ()	my ()	mz ()	E_total (J)
0	-5.073547e-10	-9.555816e-10	0.9960304	1.0861228e-18
5.0396267655869094e-14	-1.9863128e-08	1.0721865e-06	0.99603045	1.0910717e-18
1.0314338025225087e-13	-5.6692123e-08	2.180564e-06	0.99603033	1.1046848e-18
1.5304086584288236e-13	-9.833526e-08	3.2200137e-06	0.9960303	1.1171159e-18
2.0290429354129202e-13	-1.4551925e-07	4.251788e-06	0.99603015	1.1280845e-18
2.5075461862285184e-13	-1.9501877e-07	5.236879e-06	0.9960299	1.1374577e-18
3.0015164676431005e-13	-2.501087e-07	6.2491454e-06	0.9960298	1.1462093e-18
3.5128079480466093e-13	-3.109119e-07	7.2926355e-06	0.99602973	1.1544289e-18
4.015141326210254e-13	-3.7420654e-07	8.314079e-06	0.99602956	1.1618283e-18
4.510474169190989e-13	-4.3982314e-07	9.317921e-06	0.99602944	1.1685608e-18
5.000080245192009e-13	-5.076466e-07	1.03071e-05	0.9960293	1.1747224e-18
5.511889500471308e-13	-5.815811e-07	1.1338253e-05	0.9960292	1.180724e-18
6.019922958737148e-13	-6.5790465e-07	1.2358946e-05	0.9960291	1.1863755e-18
6.522359071361011e-13	-7.3619077e-07	1.3365849e-05	0.996029	1.1912814e-18
7.021447973115236e-13	-8.1657026e-07	1.4363656e-05	0.99602884	1.1957851e-18
7.522560167571223e-13	-8.9986037e-07	1.536325e-05	0.9960287	1.2008856e-18
8.01279634177107e-13	-9.83757e-07	1.6339e-05	0.9960287	1.2041607e-18
8.522782307553005e-13	-1.0735397e-06	1.7351938e-05	0.99602866	1.206677e-18
9.008530265249304e-13	-1.161375e-06	1.8314828e-05	0.9960286	1.2093271e-18
9.52572896422401e-13	-1.2573204e-06	1.9338051e-05	0.9960286	1.2132544e-18
1.001986970916215e-12	-1.3512745e-06	2.0313804e-05	0.9960284	1.2176746e-18
1.0500363652932237e-12	-1.4447718e-06	2.1261005e-05	0.9960284	1.2196632e-18
1.1022966425561495e-12	-1.5487957e-06	2.2289396e-05	0.99602836	1.2205574e-18
1.1513069100401592e-12	-1.6485195e-06	2.3252145e-05	0.9960284	1.2203642e-18
1.2000829234793314e-12	-1.7497595e-06	2.4208672e-05	0.99602836	1.2198746e-18
1.251550605829869e-12	-1.8588524e-06	2.5216297e-05	0.9960284	1.2196785e-18
1.300543010372486e-12	-1.964716e-06	2.6173975e-05	0.99602836	1.2194619e-18
1.3519634457090307e-12	-2.0779687e-06	2.7177535e-05	0.9960285	1.2192056e-18
1.4014624639372873e-12	-2.1889896e-06	2.8142153e-05	0.9960285	1.219672e-18
1.4522020974510724e-12	-2.304924e-06	2.9129476e-05	0.99602836	1.2220823e-18
1.5009151026254703e-12	-2.4181347e-06	3.0075971e-05	0.99602836	1.2253399e-18
1.5521387351595383e-12	-2.5391807e-06	3.1069827e-05	0.9960283	1.2287489e-18
1.6002945732446459e-12	-2.6548687e-06	3.200288e-05	0.99602824	1.2311088e-18
1.652392196873711e-12	-2.782032e-06	3.3010903e-05	0.99602824	1.2318311e-18
1.7013909368382973e-12	-2.9035348e-06	3.3957687e-05	0.99602824	1.2316102e-18
1.7501695338778536e-12	-3.026327e-06	3.489897e-05	0.9960282	1.2310883e-18
1.80166078664014e-12	-3.157858e-06	3.5891244e-05	0.9960282	1.230916e-18
1.851304634097866e-12	-3.2865323e-06	3.6846664e-05	0.9960281	1.2316423e-18
