# t (s)	mx ()	my ()	mz ()	E_total (J)
0	-5.073547e-10	-9.57489e-10	0.9960304	1.0892519e-18
5.039627034557278e-14	-4.844666e-10	-9.307861e-10	0.9960304	1.0942009e-18
1.0314339064895582e-13	-5.1879884e-10	-9.393692e-10	0.99603033	1.1078137e-18
1.5304087730532657e-13	-5.1116944e-10	-9.527207e-10	0.9960303	1.1202455e-18
2.0290431649032171e-13	-5.092621e-10	-9.54628e-10	0.9960301	1.1312138e-18
2.5075462038445796e-13	-4.920959e-10	-9.593963e-10	0.99602985	1.1405868e-18
3.001516255281877e-13	-4.673004e-10	-9.431839e-10	0.9960298	1.1493392e-18
3.512807802796032e-13	-4.692078e-10	-9.498596e-10	0.99602973	1.1575584e-18
4.0151408735759166e-13	-4.673004e-10	-9.698867e-10	0.99602956	1.1649577e-18
4.5104726492260473e-13	-4.501343e-10	-9.799004e-10	0.9960294	1.1716907e-18
5.000078803492573e-13	-4.386902e-10	-1.0032654e-09	0.9960293	1.1778524e-18
5.511886573406569e-13	-4.5204163e-10	-9.95636e-10	0.9960292	1.1838531e-18
6.019919175605198e-13	-4.5394896e-10	-9.608269e-10	0.99602914	1.189505e-18
6.52235347559556e-13	-4.6157836e-10	-9.765625e-10	0.996029	1.1944098e-18
7.021442208352218e-13	-4.787445e-10	-9.794235e-10	0.9960289	1.1989128e-18
7.522554026333127e-13	-4.425049e-10	-9.613037e-10	0.9960287	1.2040138e-18
8.012790042836609e-13	-4.501343e-10	-9.775162e-10	0.9960287	1.2072889e-18
8.522776428443677e-13	-4.3964385e-10	-9.727478e-10	0.99602866	1.2098051e-18
9.008524072941897e-13	-4.2766332e-10	-9.748936e-10	0.99602866	1.212455e-18
9.525721451625479e-13	-4.0245057e-10	-9.460449e-10	0.99602854	1.2163813e-18
1.0019862875158024e-12	-3.7956238e-10	-9.2983243e-10	0.99602854	1.2208017e-18
1.0500356667430952e-12	-4.0340423e-10	-9.407997e-10	0.9960284	1.222791e-18
1.1022959451643726e-12	-4.0626527e-10	-9.54628e-10	0.99602836	1.2236848e-18
1.151306300128316e-12	-4.0340423e-10	-9.589195e-10	0.9960284	1.2234911e-18
1.200082300403706e-12	-3.8909911e-10	-9.536744e-10	0.99602836	1.2230009e-18
1.2515501236797197e-12	-3.8528442e-10	-9.317398e-10	0.9960285	1.2228057e-18
1.3005427377727951e-12	-3.6907197e-10	-9.484291e-10	0.99602836	1.2225891e-18
1.351963287774128e-12	-3.5476685e-10	-8.859634e-10	0.99602854	1.2223335e-18
1.4014623456500065e-12	-3.633499e-10	-8.8882446e-10	0.99602836	1.2228002e-18
1.4522020103102867e-12	-3.6811829e-10	-9.098053e-10	0.99602836	1.2252099e-18
1.5009151169155859e-12	-3.299713e-10	-9.069443e-10	0.9960283	1.2284683e-18
1.5521387360179979e-12	-3.2234193e-10	-8.926392e-10	0.9960283	1.2318771e-18
1.6002946400084946e-12	-3.1852723e-10	-9.069443e-10	0.99602824	1.2342372e-18
1.6523922900463157e-12	-3.2043457e-10	-9.059906e-10	0.99602824	1.2349609e-18
1.7013909177411266e-12	-2.9182434e-10	-9.1600416e-10	0.99602824	1.2347394e-18
1.7501694732187937e-12	-2.746582e-10	-9.374619e-10	0.9960282	1.2342173e-18
1.8016607031718352e-12	-2.7084351e-10	-9.2053415e-10	0.9960281	1.2340449e-18
1.851304586204154e-12	-2.861023e-10	-9.1171265e-10	0.9960282	1.2347707e-18
1.9011461970739423e-12	-2.746582e-10	-9.0408325e-10	0.9960282	1.2358118e-18
1.9503997992428993e-12	-2.8038025e-10	-9.012222e-10	0.99602824	1.2359558e-18
2.001401454459503e-12	-2.784729e-10	-9.021759e-10	0.99602824	1.2351246e-18
2.051789636906316e-12	-2.822876e-10	-9.479523e-10	0.99602836	1.23355e-18
2.1019115095085655e-12	-2.7275085e-10	-9.250641e-10	0.9960283	1.231698e-18
2.1514957753154606e-12	-2.9182434e-10	-9.307861e-10	0.99602836	1.229324e-18
2.2008454658596503e-12	-2.9373168e-10	-9.222031e-10	0.99602836	1.2267713e-18
2.2504303433261444e-12	-2.8991698e-10	-9.145737e-10	0.9960285	1.22448e-18
2.300755302889517e-12	-3.1471253e-10	-9.186268e-10	0.9960284	1.2229588e-18
2.3520300306111482e-12	-3.1757355e-10	-9.469986e-10	0.99602836	1.2225309e-18
2.4012892789426636e-12	-3.1280517e-10	-9.250641e-10	0.9960284	1.2226675e-18
2.4502063452506276e-12	-3.1661987e-10	-8.773804e-10	0.9960284	1.2223668e-18
2.5010049797495867e-12	-3.3187866e-10	-9.152889e-10	0.99602836	1.2213743e-18
2.5519740988654733e-12	-3.1471253e-10	-8.9645386e-10	0.99602836	1.2205845e-18
2.6008839806208037e-12	-3.33786e-10	-8.840561e-10	0.99602836	1.2202758e-18
2.6501616961616536e-12	-3.414154e-10	-9.1075897e-10	0.99602836	1.2204415e-18
2.7024203202449473e-12	-3.1661987e-10	-9.174347e-10	0.99602836	1.221331e-18
2.7511808526638654e-12	-3.1280517e-10	-9.069443e-10	0.99602836	1.2208514e-18
2.8018190776883917e-12	-3.194809e-10	-8.907318e-10	0.99602836	1.2197018e-18
2.850227952463448e-12	-3.5858155e-10	-8.3732604e-10	0.99602836	1.2188162e-18
2.90119615006481e-12	-3.3950806e-10	-8.544922e-10	0.99602836	1.2180475e-18
2.951839699332952e-12	-3.2234193e-10	-8.368492e-10	0.9960284	1.2169263e-18
3.0000490723931813e-12	-3.33786e-10	-8.8119506e-10	0.99602836	1.2158445e-18
3.0506405630191656e-12	-3.7002562e-10	-8.764267e-10	0.9960285	1.2146896e-18
3.1014007779267715e-12	-3.5858155e-10	-8.955002e-10	0.9960284	1.2137227e-18
3.1502670141377497e-12	-3.566742e-10	-9.2029573e-10	0.9960285	1.2133891e-18
3.2023034872609127e-12	-3.7765502e-10	-9.0312957e-10	0.99602836	1.2139387e-18
3.2502563086102472e-12	-3.33786e-10	-8.907318e-10	0.99602836	1.2156877e-18
3.301225829384416e-12	-3.2806396e-10	-8.907318e-10	0.99602836	1.2183594e-18
3.3517589279703842e-12	-3.0517577e-10	-8.8977814e-10	0.99602836	1.2203498e-18
