run,signal,frequency_ghz,power
Bx,mx,0.0,1.2787552335218313e-07
Bx,mx,2.0431022325579713,5.6708002189120026e-05
Bx,mx,4.086204465115943,0.00017663359031780277
Bx,mx,6.129306697673913,4.348611314641756e-05
Bx,mx,8.172408930231885,3.43568168261534e-06
Bx,mx,10.215511162789857,2.137791201920973e-07
Bx,mx,12.258613395347826,5.88423883595894e-08
Bx,mx,14.301715627905796,6.320127581644082e-08
Bx,mx,16.34481786046377,7.913971571433554e-09
Bx,mx,18.38792009302174,3.597171635833025e-10
Bx,mx,20.431022325579715,1.1253650110753647e-09
Bx,mx,22.47412455813768,1.6833249101694532e-09
Bx,mx,24.517226790695652,4.063552735610761e-10
Bx,mx,26.560329023253626,6.851389759878404e-11
Bx,mx,28.603431255811593,8.375622677407611e-12
Bx,mx,30.646533488369567,1.2470425707618767e-11
Bx,mx,32.68963572092754,3.887973457767678e-12
Bx,mx,34.732737953485504,2.313671047645079e-10
Bx,mx,36.77584018604348,2.6074853685216083e-10
Bx,mx,38.81894241860145,1.0158828305020569e-11
Bx,mx,40.86204465115943,7.907780729918895e-12
Bx,mx,42.90514688371739,1.3440249078999916e-12
Bx,mx,44.94824911627536,1.4901563930849223e-12
Bx,mx,46.99135134883334,3.6561003824079044e-13
Bx,mx,49.034453581391304,4.438899520363231e-13
Bx,mx,51.077555813949274,5.2833887113342684e-14
Bx,mx,53.12065804650725,4.044610760046582e-12
Bx,mx,55.16376027906522,5.667491806756759e-11
Bx,mx,57.206862511623186,3.107549777092596e-11
Bx,mx,59.24996474418116,9.90936510454335e-13
Bx,mx,61.293066976739134,5.832639224084708e-13
Bx,mx,63.33616920929711,4.764824959196334e-14
Bx,mx,65.37927144185508,5.828713405971673e-14
Bx,mx,67.42237367441304,1.8771966397359229e-13
Bx,mx,69.46547590697101,6.447590623765341e-14
Bx,mx,71.50857813952899,2.566580234668265e-13
Bx,mx,73.55168037208696,4.6182455566266695e-15
Bx,mx,75.59478260464493,1.6973940115482304e-14
Bx,mx,77.6378848372029,5.384993032386813e-15
Bx,mx,79.68098706976087,2.9127357042716617e-13
Bx,mx,81.72408930231886,6.912357403613036e-12
Bx,mx,83.76719153487682,1.5073737520241266e-11
Bx,mx,85.81029376743479,2.778933777951013e-12
Bx,mx,87.85339599999276,1.2605115776208963e-13
Bx,mx,89.89649823255073,9.314374153721305e-14
Bx,mx,91.9396004651087,3.5079402139802576e-15
Bx,mx,93.98270269766668,1.0431507537565276e-14
Bx,mx,96.02580493022465,5.465427534651462e-14
Bx,mx,98.06890716278261,1.4785725193494808e-13
Bx,mx,100.11200939534058,2.0460062734872104e-14
Bx,mx,102.15511162789855,1.9434968982052096e-15
Bx,mx,104.19821386045653,2.7122891783966314e-15
Bx,mx,106.2413160930145,1.4706036099512125e-15
Bx,mx,108.28441832557247,2.2683182190837985e-15
Bx,mx,110.32752055813044,4.0111625116880485e-16
Bx,mx,112.3706227906884,1.6709495640826302e-14
Bx,mx,114.41372502324637,1.0659622757220433e-14
Bx,mx,116.45682725580436,4.010477066912092e-14
Bx,mx,118.49992948836233,7.268365954352252e-13
Bx,mx,120.5430317209203,2.3526266558007566e-12
Bx,mx,122.58613395347827,8.725590827498217e-13
Bx,mx,124.62923618603624,8.264598432474768e-14
Bx,mx,126.67233841859422,2.3715110421038352e-15
Bx,mx,128.7154406511522,9.852569273855886e-15
Bx,mx,130.75854288371016,3.7554780869619724e-15
Bx,mx,132.80164511626813,3.6814983793718e-16
Bx,mx,134.84474734882608,8.091789082253906e-15
Bx,mx,136.88784958138407,9.535640580431447e-15
Bx,mx,138.93095181394202,6.390260973782235e-15
Bx,mx,140.97405404650002,1.1200259413791917e-15
Bx,mx,143.01715627905799,2.250541493741264e-16
Bx,mx,145.06025851161596,3.415643616422408e-16
Bx,mx,147.10336074417393,3.3383189997021675e-16
Bx,mx,149.14646297673187,2.9352538903445555e-16
Bx,mx,151.18956520928987,7.479762477761173e-16
Bx,mx,153.23266744184784,1.732565770906033e-15
Bx,mx,155.2757696744058,1.2688246152878661e-15
Bx,mx,157.31887190696378,9.479284768238846e-16
Bx,mx,159.36197413952175,1.0139172451580493e-15
Bx,mx,161.40507637207972,2.354255423238797e-16
Bx,mx,163.44817860463772,2.4894265410896675e-15
Bx,mx,165.49128083719566,1.133943338468101e-14
Bx,mx,167.53438306975363,1.5078551698663604e-13
Bx,mx,169.5774853023116,5.571223357728228e-13
Bx,mx,171.62058753486957,2.7803419864423167e-13
Bx,mx,173.66368976742754,3.512278299754204e-14
Bx,mx,175.7067919999855,3.2065121427571e-15
Bx,mx,177.7498942325435,2.6296861842868213e-16
Bx,mx,179.79299646510145,1.7778608261928446e-16
Bx,mx,181.83609869765942,3.784148864672331e-16
Bx,mx,183.8792009302174,1.571850896930545e-16
Bx,mx,185.92230316277536,4.2153107898298886e-16
Bx,mx,187.96540539533336,1.8904041965481105e-15
Bx,mx,190.0085076278913,1.2886433724469297e-15
Bx,mx,192.0516098604493,2.027213644871888e-16
Bx,mx,194.09471209300725,1.0080615483187003e-16
Bx,mx,196.13781432556522,7.82166806914657e-17
Bx,mx,198.18091655812322,2.614918390892585e-16
Bx,mx,200.22401879068116,1.3324588629345174e-17
Bx,mx,202.26712102323916,4.054637342106537e-17
Bx,mx,204.3102232557971,6.603447168896526e-17
Bx,mx,206.3533254883551,1.1347999001482965e-16
Bx,mx,208.39642772091307,4.3321726747899497e-16
Bx,mx,210.439529953471,2.226082102302175e-17
Bx,mx,212.482632186029,5.088921844310084e-17
Bx,mx,214.52573441858695,1.1624137556444814e-16
Bx,mx,216.56883665114495,1.562738966988848e-16
Bx,mx,218.61193888370292,7.057805277952861e-18
Bx,mx,220.6550411162609,1.192929812048821e-17
Bx,mx,222.69814334881886,1.0330386162790112e-17
Bx,mx,224.7412455813768,9.00191775713122e-17
Bx,mx,226.7843478139348,2.2130830944965033e-16
Bx,mx,228.82745004649274,1.9933180734811783e-15
Bx,mx,230.87055227905074,4.062381808963212e-14
Bx,mx,232.9136545116087,1.421095876994854e-13
Bx,mx,234.95675674416668,5.902400723101775e-14
Bx,mx,236.99985897672465,5.0248438333820225e-15
Bx,mx,239.0429612092826,8.096315640809431e-16
Bx,mx,241.0860634418406,9.824140786015362e-16
Bx,mx,243.12916567439856,3.0269494874899276e-16
Bx,mx,245.17226790695653,8.287401548695305e-17
Bx,mx,247.2153701395145,3.473529626590149e-17
Bx,mx,249.25847237207248,5.8434323846310836e-18
Bx,mx,251.30157460463045,1.0301712319564488e-17
Bx,mx,253.34467683718844,3.012989553251145e-16
Bx,mx,255.3877790697464,1.180351115358067e-15
Bx,mx,257.4308813023044,6.295658320260069e-16
Bx,mx,259.4739835348623,6.203955853087131e-17
Bx,mx,261.5170857674203,7.297515323250322e-18
Bx,mx,263.56018799997827,3.525591827993511e-18
Bx,mx,265.60329023253627,1.6892341097441878e-17
Bx,mx,267.6463924650942,1.1500059934024407e-17
Bx,mx,269.68949469765215,6.67225667613787e-18
Bx,mx,271.73259693021015,1.3185830412967063e-17
